Temperature - (Celsius), Year, Statistics, Country, ISO3
25.4837, 1933, Dec Average, Indonesia, IDN
25.3291, 1934, Jan Average, Indonesia, IDN
25.0309, 1934, Feb Average, Indonesia, IDN
25.1452, 1934, Mar Average, Indonesia, IDN
25.6962, 1934, Apr Average, Indonesia, IDN
25.8975, 1934, May Average, Indonesia, IDN
25.592, 1934, Jun Average, Indonesia, IDN
25.4726, 1934, Jul Average, Indonesia, IDN
25.3126, 1934, Aug Average, Indonesia, IDN
25.3961, 1934, Sep Average, Indonesia, IDN
25.8262, 1934, Oct Average, Indonesia, IDN
26.261, 1934, Nov Average, Indonesia, IDN
25.815, 1934, Dec Average, Indonesia, IDN
25.8158, 1935, Jan Average, Indonesia, IDN
25.9583, 1935, Feb Average, Indonesia, IDN
26.0092, 1935, Mar Average, Indonesia, IDN
25.7891, 1935, Apr Average, Indonesia, IDN
25.8523, 1935, May Average, Indonesia, IDN
25.2269, 1935, Jun Average, Indonesia, IDN
25.1198, 1935, Jul Average, Indonesia, IDN
25.0945, 1935, Aug Average, Indonesia, IDN
25.6704, 1935, Sep Average, Indonesia, IDN
25.9066, 1935, Oct Average, Indonesia, IDN
26.2197, 1935, Nov Average, Indonesia, IDN
26.0157, 1935, Dec Average, Indonesia, IDN
25.7603, 1936, Jan Average, Indonesia, IDN
25.9382, 1936, Feb Average, Indonesia, IDN
25.8595, 1936, Mar Average, Indonesia, IDN
25.9092, 1936, Apr Average, Indonesia, IDN
26.1797, 1936, May Average, Indonesia, IDN
25.5412, 1936, Jun Average, Indonesia, IDN
25.3709, 1936, Jul Average, Indonesia, IDN
25.3703, 1936, Aug Average, Indonesia, IDN
25.702, 1936, Sep Average, Indonesia, IDN
25.6903, 1936, Oct Average, Indonesia, IDN
26.1804, 1936, Nov Average, Indonesia, IDN
26.117, 1936, Dec Average, Indonesia, IDN
25.6508, 1937, Jan Average, Indonesia, IDN
26.0266, 1937, Feb Average, Indonesia, IDN
26.1797, 1937, Mar Average, Indonesia, IDN
25.9727, 1937, Apr Average, Indonesia, IDN
25.8108, 1937, May Average, Indonesia, IDN
25.5464, 1937, Jun Average, Indonesia, IDN
25.0782, 1937, Jul Average, Indonesia, IDN
25.2123, 1937, Aug Average, Indonesia, IDN
25.608, 1937, Sep Average, Indonesia, IDN
25.7509, 1937, Oct Average, Indonesia, IDN
26.3067, 1937, Nov Average, Indonesia, IDN
25.8957, 1937, Dec Average, Indonesia, IDN
25.929, 1938, Jan Average, Indonesia, IDN
25.9615, 1938, Feb Average, Indonesia, IDN
25.9237, 1938, Mar Average, Indonesia, IDN
26.08, 1938, Apr Average, Indonesia, IDN
25.9649, 1938, May Average, Indonesia, IDN
25.4605, 1938, Jun Average, Indonesia, IDN
25.2026, 1938, Jul Average, Indonesia, IDN
25.1977, 1938, Aug Average, Indonesia, IDN
25.5814, 1938, Sep Average, Indonesia, IDN
