"X","Temperature....Celsius.","Year","Statistics","Country","ISO3"
331,15.6771,1988," Jul Average"," Russia"," RUS"
332,12.1557,1988," Aug Average"," Russia"," RUS"
333,6.60803,1988," Sep Average"," Russia"," RUS"
334,-3.6587,1988," Oct Average"," Russia"," RUS"
335,-16.605,1988," Nov Average"," Russia"," RUS"
336,-20.864,1988," Dec Average"," Russia"," RUS"
337,-26.06,1989," Jan Average"," Russia"," RUS"
338,-19.389,1989," Feb Average"," Russia"," RUS"
339,-12.579,1989," Mar Average"," Russia"," RUS"
340,-7.2256,1989," Apr Average"," Russia"," RUS"
341,3.90142,1989," May Average"," Russia"," RUS"
342,11.4886,1989," Jun Average"," Russia"," RUS"
343,14.6785,1989," Jul Average"," Russia"," RUS"
344,11.8333,1989," Aug Average"," Russia"," RUS"
345,5.46293,1989," Sep Average"," Russia"," RUS"
346,-4.7517,1989," Oct Average"," Russia"," RUS"
347,-17.679,1989," Nov Average"," Russia"," RUS"
348,-22.456,1989," Dec Average"," Russia"," RUS"
349,-28.489,1990," Jan Average"," Russia"," RUS"
350,-22.712,1990," Feb Average"," Russia"," RUS"
351,-11.143,1990," Mar Average"," Russia"," RUS"
352,-3.8582,1990," Apr Average"," Russia"," RUS"
353,4.5953,1990," May Average"," Russia"," RUS"
354,11.9846,1990," Jun Average"," Russia"," RUS"
355,15.2451,1990," Jul Average"," Russia"," RUS"
356,12.4869,1990," Aug Average"," Russia"," RUS"
357,4.88011,1990," Sep Average"," Russia"," RUS"
358,-4.2212,1990," Oct Average"," Russia"," RUS"
359,-18.013,1990," Nov Average"," Russia"," RUS"
360,-22.956,1990," Dec Average"," Russia"," RUS"
361,-24.513,1991," Jan Average"," Russia"," RUS"
362,-24.738,1991," Feb Average"," Russia"," RUS"
363,-18.39,1991," Mar Average"," Russia"," RUS"
364,-4.8511,1991," Apr Average"," Russia"," RUS"
365,4.02237,1991," May Average"," Russia"," RUS"
366,11.9564,1991," Jun Average"," Russia"," RUS"
367,15.9513,1991," Jul Average"," Russia"," RUS"
368,12.6317,1991," Aug Average"," Russia"," RUS"
369,6.44098,1991," Sep Average"," Russia"," RUS"
370,-3.6118,1991," Oct Average"," Russia"," RUS"
371,-15.076,1991," Nov Average"," Russia"," RUS"
372,-24.673,1991," Dec Average"," Russia"," RUS"
373,-24.042,1992," Jan Average"," Russia"," RUS"
374,-21.731,1992," Feb Average"," Russia"," RUS"
375,-15.813,1992," Mar Average"," Russia"," RUS"
376,-8.0402,1992," Apr Average"," Russia"," RUS"
377,4.06736,1992," May Average"," Russia"," RUS"
378,10.0675,1992," Jun Average"," Russia"," RUS"
379,14.1514,1992," Jul Average"," Russia"," RUS"
380,11.6855,1992," Aug Average"," Russia"," RUS"
381,4.53386,1992," Sep Average"," Russia"," RUS"
382,-6.1596,1992," Oct Average"," Russia"," RUS"
383,-19.753,1992," Nov Average"," Russia"," RUS"
384,-22.295,1992," Dec Average"," Russia"," RUS"
385,-23.498,1993," Jan Average"," Russia"," RUS"
386,-20.934,1993," Feb Average"," Russia"," RUS"
387,-14.471,1993," Mar Average"," Russia"," RUS"
388,-6.9357,1993," Apr Average"," Russia"," RUS"
389,3.06022,1993," May Average"," Russia"," RUS"
390,11.2984,1993," Jun Average"," Russia"," RUS"
391,15.2348,1993," Jul Average"," Russia"," RUS"
392,11.7908,1993," Aug Average"," Russia"," RUS"
393,4.59466,1993," Sep Average"," Russia"," RUS"
394,-5.3005,1993," Oct Average"," Russia"," RUS"
395,-18.653,1993," Nov Average"," Russia"," RUS"
396,-24.743,1993," Dec Average"," Russia"," RUS"
397,-26.907,1994," Jan Average"," Russia"," RUS"
398,-25.735,1994," Feb Average"," Russia"," RUS"
399,-15.948,1994," Mar Average"," Russia"," RUS"
400,-5.9572,1994," Apr Average"," Russia"," RUS"
401,2.67539,1994," May Average"," Russia"," RUS"
402,11.6938,1994," Jun Average"," Russia"," RUS"
403,14.7412,1994," Jul Average"," Russia"," RUS"
404,11.6694,1994," Aug Average"," Russia"," RUS"
405,6.21574,1994," Sep Average"," Russia"," RUS"
406,-2.7565,1994," Oct Average"," Russia"," RUS"
407,-17.841,1994," Nov Average"," Russia"," RUS"
408,-25.051,1994," Dec Average"," Russia"," RUS"
409,-23.132,1995," Jan Average"," Russia"," RUS"
410,-17.913,1995," Feb Average"," Russia"," RUS"
411,-14.684,1995," Mar Average"," Russia"," RUS"
412,-4.3456,1995," Apr Average"," Russia"," RUS"
413,3.5702,1995," May Average"," Russia"," RUS"
414,11.442,1995," Jun Average"," Russia"," RUS"
415,14.8997,1995," Jul Average"," Russia"," RUS"
416,13.2386,1995," Aug Average"," Russia"," RUS"
417,6.23247,1995," Sep Average"," Russia"," RUS"
418,-3.048,1995," Oct Average"," Russia"," RUS"
419,-14.962,1995," Nov Average"," Russia"," RUS"
420,-22.722,1995," Dec Average"," Russia"," RUS"
421,-25.843,1996," Jan Average"," Russia"," RUS"
422,-22.838,1996," Feb Average"," Russia"," RUS"
423,-15.435,1996," Mar Average"," Russia"," RUS"
424,-6.9761,1996," Apr Average"," Russia"," RUS"
425,3.6709,1996," May Average"," Russia"," RUS"
426,10.6681,1996," Jun Average"," Russia"," RUS"
427,15.4488,1996," Jul Average"," Russia"," RUS"
428,11.3389,1996," Aug Average"," Russia"," RUS"
429,3.99453,1996," Sep Average"," Russia"," RUS"
430,-4.7432,1996," Oct Average"," Russia"," RUS"
431,-14.865,1996," Nov Average"," Russia"," RUS"
432,-24.544,1996," Dec Average"," Russia"," RUS"
433,-26.484,1997," Jan Average"," Russia"," RUS"
434,-23.001,1997," Feb Average"," Russia"," RUS"
435,-14.171,1997," Mar Average"," Russia"," RUS"
436,-2.7651,1997," Apr Average"," Russia"," RUS"
437,4.02555,1997," May Average"," Russia"," RUS"
438,11.3665,1997," Jun Average"," Russia"," RUS"
439,14.3421,1997," Jul Average"," Russia"," RUS"
440,12.3931,1997," Aug Average"," Russia"," RUS"
441,5.97098,1997," Sep Average"," Russia"," RUS"
442,-2.5948,1997," Oct Average"," Russia"," RUS"
443,-18.057,1997," Nov Average"," Russia"," RUS"
444,-26.183,1997," Dec Average"," Russia"," RUS"
445,-26.652,1998," Jan Average"," Russia"," RUS"
446,-24.498,1998," Feb Average"," Russia"," RUS"
447,-15.69,1998," Mar Average"," Russia"," RUS"
448,-7.7908,1998," Apr Average"," Russia"," RUS"
449,2.18784,1998," May Average"," Russia"," RUS"
450,11.9182,1998," Jun Average"," Russia"," RUS"
451,16.193,1998," Jul Average"," Russia"," RUS"
452,13.147,1998," Aug Average"," Russia"," RUS"
453,4.50973,1998," Sep Average"," Russia"," RUS"
454,-6.3637,1998," Oct Average"," Russia"," RUS"
455,-21.231,1998," Nov Average"," Russia"," RUS"
456,-23.624,1998," Dec Average"," Russia"," RUS"
457,-26.626,1999," Jan Average"," Russia"," RUS"
458,-22.189,1999," Feb Average"," Russia"," RUS"
459,-20.568,1999," Mar Average"," Russia"," RUS"
460,-6.7147,1999," Apr Average"," Russia"," RUS"
461,3.17716,1999," May Average"," Russia"," RUS"
462,11.1827,1999," Jun Average"," Russia"," RUS"
463,15.7508,1999," Jul Average"," Russia"," RUS"
464,11.7378,1999," Aug Average"," Russia"," RUS"
465,5.46499,1999," Sep Average"," Russia"," RUS"
466,-4.1641,1999," Oct Average"," Russia"," RUS"
467,-17.729,1999," Nov Average"," Russia"," RUS"
468,-21.136,1999," Dec Average"," Russia"," RUS"
469,-27.235,2000," Jan Average"," Russia"," RUS"
470,-21.381,2000," Feb Average"," Russia"," RUS"
471,-14.922,2000," Mar Average"," Russia"," RUS"
472,-3.8342,2000," Apr Average"," Russia"," RUS"
473,3.88852,2000," May Average"," Russia"," RUS"
474,12.3387,2000," Jun Average"," Russia"," RUS"
475,15.0084,2000," Jul Average"," Russia"," RUS"
476,12.8786,2000," Aug Average"," Russia"," RUS"
477,5.6741,2000," Sep Average"," Russia"," RUS"
478,-5.4827,2000," Oct Average"," Russia"," RUS"
479,-18.935,2000," Nov Average"," Russia"," RUS"
480,-26.074,2000," Dec Average"," Russia"," RUS"
481,-28.068,2001," Jan Average"," Russia"," RUS"
482,-25.365,2001," Feb Average"," Russia"," RUS"
483,-16.563,2001," Mar Average"," Russia"," RUS"
484,-5.9074,2001," Apr Average"," Russia"," RUS"
485,4.65739,2001," May Average"," Russia"," RUS"
486,12.352,2001," Jun Average"," Russia"," RUS"
487,16.0098,2001," Jul Average"," Russia"," RUS"
488,13.021,2001," Aug Average"," Russia"," RUS"
489,5.30689,2001," Sep Average"," Russia"," RUS"
490,-5.1239,2001," Oct Average"," Russia"," RUS"
491,-13.913,2001," Nov Average"," Russia"," RUS"
492,-24.011,2001," Dec Average"," Russia"," RUS"
493,-24.592,2002," Jan Average"," Russia"," RUS"
494,-21.137,2002," Feb Average"," Russia"," RUS"
495,-12.324,2002," Mar Average"," Russia"," RUS"
496,-5.9436,2002," Apr Average"," Russia"," RUS"
497,3.73513,2002," May Average"," Russia"," RUS"
498,12.3913,2002," Jun Average"," Russia"," RUS"
499,15.7214,2002," Jul Average"," Russia"," RUS"
500,12.6347,2002," Aug Average"," Russia"," RUS"
501,5.57589,2002," Sep Average"," Russia"," RUS"
502,-5.1454,2002," Oct Average"," Russia"," RUS"
503,-16.757,2002," Nov Average"," Russia"," RUS"
504,-27.211,2002," Dec Average"," Russia"," RUS"
505,-25.404,2003," Jan Average"," Russia"," RUS"
506,-23.861,2003," Feb Average"," Russia"," RUS"
507,-14.594,2003," Mar Average"," Russia"," RUS"
508,-5.6001,2003," Apr Average"," Russia"," RUS"
509,4.16765,2003," May Average"," Russia"," RUS"
510,11.3849,2003," Jun Average"," Russia"," RUS"
511,15.5483,2003," Jul Average"," Russia"," RUS"
512,13.4477,2003," Aug Average"," Russia"," RUS"
513,6.9202,2003," Sep Average"," Russia"," RUS"
