"","Temperature - (Celsius)","Year","Statistics","Country","ISO3"
"380",23.9357,1992,"Aug Average","Brazil","BRA"
"381",24.4702,1992,"Sep Average","Brazil","BRA"
"382",25.6455,1992,"Oct Average","Brazil","BRA"
"383",25.3548,1992,"Nov Average","Brazil","BRA"
"384",25.3782,1992,"Dec Average","Brazil","BRA"
"385",25.7122,1993,"Jan Average","Brazil","BRA"
"386",25.3757,1993,"Feb Average","Brazil","BRA"
"387",25.6605,1993,"Mar Average","Brazil","BRA"
"388",25.5324,1993,"Apr Average","Brazil","BRA"
"389",24.4301,1993,"May Average","Brazil","BRA"
"390",23.6868,1993,"Jun Average","Brazil","BRA"
"391",23.3538,1993,"Jul Average","Brazil","BRA"
"392",24.0561,1993,"Aug Average","Brazil","BRA"
"393",25.0921,1993,"Sep Average","Brazil","BRA"
"394",26.0299,1993,"Oct Average","Brazil","BRA"
"395",25.9032,1993,"Nov Average","Brazil","BRA"
"396",25.7751,1993,"Dec Average","Brazil","BRA"
"397",25.5768,1994,"Jan Average","Brazil","BRA"
"398",25.7538,1994,"Feb Average","Brazil","BRA"
"399",25.4201,1994,"Mar Average","Brazil","BRA"
"400",25.2587,1994,"Apr Average","Brazil","BRA"
"401",24.9608,1994,"May Average","Brazil","BRA"
"402",23.6368,1994,"Jun Average","Brazil","BRA"
"403",23.2637,1994,"Jul Average","Brazil","BRA"
"404",24.2578,1994,"Aug Average","Brazil","BRA"
"405",25.4814,1994,"Sep Average","Brazil","BRA"
"406",26.1762,1994,"Oct Average","Brazil","BRA"
"407",25.8972,1994,"Nov Average","Brazil","BRA"
"408",25.9369,1994,"Dec Average","Brazil","BRA"
"409",26.165,1995,"Jan Average","Brazil","BRA"
"410",25.9884,1995,"Feb Average","Brazil","BRA"
"411",25.9259,1995,"Mar Average","Brazil","BRA"
"412",25.1272,1995,"Apr Average","Brazil","BRA"
"413",24.2585,1995,"May Average","Brazil","BRA"
"414",23.8711,1995,"Jun Average","Brazil","BRA"
"415",24.2735,1995,"Jul Average","Brazil","BRA"
"416",25.0193,1995,"Aug Average","Brazil","BRA"
"417",25.7562,1995,"Sep Average","Brazil","BRA"
"418",26.1276,1995,"Oct Average","Brazil","BRA"
"419",25.9217,1995,"Nov Average","Brazil","BRA"
"420",25.8998,1995,"Dec Average","Brazil","BRA"
"421",25.9877,1996,"Jan Average","Brazil","BRA"
"422",26.1255,1996,"Feb Average","Brazil","BRA"
"423",25.5699,1996,"Mar Average","Brazil","BRA"
"424",25.2402,1996,"Apr Average","Brazil","BRA"
"425",24.479,1996,"May Average","Brazil","BRA"
"426",22.9811,1996,"Jun Average","Brazil","BRA"
"427",23.4364,1996,"Jul Average","Brazil","BRA"
"428",24.6444,1996,"Aug Average","Brazil","BRA"
"429",25.0308,1996,"Sep Average","Brazil","BRA"
"430",25.9201,1996,"Oct Average","Brazil","BRA"
"431",25.6649,1996,"Nov Average","Brazil","BRA"
"432",26.2589,1996,"Dec Average","Brazil","BRA"
"433",25.6118,1997,"Jan Average","Brazil","BRA"
"434",25.8601,1997,"Feb Average","Brazil","BRA"
"435",25.2519,1997,"Mar Average","Brazil","BRA"
"436",25.1507,1997,"Apr Average","Brazil","BRA"
"437",24.3424,1997,"May Average","Brazil","BRA"
"438",23.7496,1997,"Jun Average","Brazil","BRA"
"439",24.2523,1997,"Jul Average","Brazil","BRA"
"440",24.6856,1997,"Aug Average","Brazil","BRA"
"441",25.8613,1997,"Sep Average","Brazil","BRA"
"442",26.8906,1997,"Oct Average","Brazil","BRA"
"443",26.7417,1997,"Nov Average","Brazil","BRA"
"444",26.465,1997,"Dec Average","Brazil","BRA"
"445",26.7041,1998,"Jan Average","Brazil","BRA"
"446",26.8333,1998,"Feb Average","Brazil","BRA"
"447",26.357,1998,"Mar Average","Brazil","BRA"
"448",26.3255,1998,"Apr Average","Brazil","BRA"
"449",24.8441,1998,"May Average","Brazil","BRA"
"450",23.9281,1998,"Jun Average","Brazil","BRA"
"451",24.5773,1998,"Jul Average","Brazil","BRA"
"452",25.4446,1998,"Aug Average","Brazil","BRA"
"453",25.7331,1998,"Sep Average","Brazil","BRA"
"454",26.4043,1998,"Oct Average","Brazil","BRA"
"455",26.031,1998,"Nov Average","Brazil","BRA"
"456",26.1804,1998,"Dec Average","Brazil","BRA"
"457",26.0825,1999,"Jan Average","Brazil","BRA"
"458",26.0898,1999,"Feb Average","Brazil","BRA"
"459",25.9152,1999,"Mar Average","Brazil","BRA"
"460",25.1308,1999,"Apr Average","Brazil","BRA"
"461",24.0045,1999,"May Average","Brazil","BRA"
"462",23.7472,1999,"Jun Average","Brazil","BRA"
"463",23.801,1999,"Jul Average","Brazil","BRA"
"464",24.3559,1999,"Aug Average","Brazil","BRA"
"465",25.7298,1999,"Sep Average","Brazil","BRA"
"466",25.9712,1999,"Oct Average","Brazil","BRA"
"467",25.8139,1999,"Nov Average","Brazil","BRA"
"468",26.0335,1999,"Dec Average","Brazil","BRA"
"469",25.8922,2000,"Jan Average","Brazil","BRA"
"470",25.7304,2000,"Feb Average","Brazil","BRA"
"471",25.5237,2000,"Mar Average","Brazil","BRA"
"472",25.298,2000,"Apr Average","Brazil","BRA"
"473",24.6587,2000,"May Average","Brazil","BRA"
"474",24.0279,2000,"Jun Average","Brazil","BRA"
"475",22.8954,2000,"Jul Average","Brazil","BRA"
"476",24.8073,2000,"Aug Average","Brazil","BRA"
"477",25.1792,2000,"Sep Average","Brazil","BRA"
"478",26.5293,2000,"Oct Average","Brazil","BRA"
"479",25.8763,2000,"Nov Average","Brazil","BRA"
"480",25.8833,2000,"Dec Average","Brazil","BRA"
"481",25.889,2001,"Jan Average","Brazil","BRA"
"482",26.1098,2001,"Feb Average","Brazil","BRA"
"483",25.9956,2001,"Mar Average","Brazil","BRA"
"484",25.844,2001,"Apr Average","Brazil","BRA"
"485",24.7001,2001,"May Average","Brazil","BRA"
"486",23.2559,2001,"Jun Average","Brazil","BRA"
"487",24.2577,2001,"Jul Average","Brazil","BRA"
"488",25.1645,2001,"Aug Average","Brazil","BRA"
"489",25.7005,2001,"Sep Average","Brazil","BRA"
"490",26.2674,2001,"Oct Average","Brazil","BRA"
"491",26.3615,2001,"Nov Average","Brazil","BRA"
"492",26.071,2001,"Dec Average","Brazil","BRA"
"493",26.0038,2002,"Jan Average","Brazil","BRA"
"494",26.0543,2002,"Feb Average","Brazil","BRA"
"495",26.3506,2002,"Mar Average","Brazil","BRA"
"496",26.0302,2002,"Apr Average","Brazil","BRA"
"497",25.2653,2002,"May Average","Brazil","BRA"
"498",24.0697,2002,"Jun Average","Brazil","BRA"
"499",24.3129,2002,"Jul Average","Brazil","BRA"
